"legacy_code","current_code","chogan_name","category","subcategory","reference_brand","reference_perfume","verification_status","match_confidence","notes","type","price","gender_category","head_note","heart_note","base_note","product_url","match_reasoning","source_url","match_method"
"006","006W","Addiction - Perfume for Her","Women","Women perfumes inspired by","Yves Saint Laurent","Opium","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Lily-of-the-Valley, Mandarin Orange","Jasmine, Myrrh","Amber, Opoponax, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11751","","","Normalized code (suffix / leading zero)"
"007","007W","Pure Gold - Perfume for Her","Women","Women perfumes inspired by","Dior","J'adore","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Bergamot, Magnolia, Mandarin Orange, Melon, Pear, Quandong Desert Peach","Freesia, Jasmine, Lily-of-the-Valley, Orchid, Plum, Rose, Tuberose, Violet","Blackberry, Cedar, Musk, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11766","","","Normalized code (suffix / leading zero)"
"010","010W","Stranger - Perfume for Her","Women","Women perfumes inspired by","Thierry Mugler","Alien","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Jasmine","Woody Notes","White Amber","https://www.chogangroupspa.com/chogangroup/productDetail/11786","","","Normalized code (suffix / leading zero)"
"011","011W","Aqua Soul for Her - Perfume","Women","Women perfumes inspired by","Dolce & Gabbana","Light Blue","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Apple, Bellflower, Cedar, Lemon","Bamboo, Jasmine, Rose","Amber, Cedar, Musk","https://www.chogangroupspa.com/chogangroup/productDetail/11791","","","Normalized code (suffix / leading zero)"
"213","151W","To The Edge For Her - Perfume for Her","Women","Women perfumes inspired by","Gucci","Guilty","Needs review","Very likely","151W/To The Edge For Her looks like the newer related product, but notes differ between Guilty EDT/EDP versions; verify exact target before replacing 213.","Perfume","35,00 €","Women","Bergamot, Mandarin Orange, Pink Pepper","Black Currant, Geranium, Jasmine, Lilac, Peach","Amber, Musk, Patchouli, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11053","151W/To The Edge For Her looks like the newer related product, but notes differ between Guilty EDT/EDP versions; verify exact target before replacing 213.","https://www.exclusive-by-changed-nails.nl/a-105751330/chogan-olfazeta-dames-parfum/olfazeta-to-the-edge-for-her-parfum-151/","Audit mapping"
"014","014W","Statement - Perfume for Her","Women","Women perfumes inspired by","Yves Saint Laurent","Manifesto","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Black Currant, Green Notes","Jasmine, Lily-of-the-Valley","Cedarwood, Sandalwood, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11816","","","Normalized code (suffix / leading zero)"
"019","019W","Prestige for Her - Perfume","Women","Women perfumes inspired by","Paco Rabanne","Lady Million","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Lemon, Neroli, Raspberry","Gardenia, Jasmine, Orange Blossom","Amber, Honey, Patchouli","https://www.chogangroupspa.com/chogangroup/productDetail/11886","","","Normalized code (suffix / leading zero)"
"023","023W","Fatale - Perfume for Her","Women","Women perfumes inspired by","Dior","Hypnotic Poison","Legacy code / current code found","Confirmed","Popular","Perfume","35,00 €","Women","Apricot, Coconut, Plum","Brazilian Rosewood, Caraway, Jasmine, Lily-of-the-Valley, Rose, Tuberose","Almond, Musk, Sandalwood, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/11941","","","Normalized code (suffix / leading zero)"
"024","024W","The Essence - Perfume for Her","Women","Women perfumes inspired by","Chanel","Chanel N°5","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Aldehydes, Bergamot, Lemon, Neroli, Ylang-Ylang","Iris, Jasmine, Lily-of-the-Valley, Orris Root, Rose","Civet, Oakmoss, Patchouli, Sandalwood, Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/11981","","","Normalized code (suffix / leading zero)"
"025","025","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Narciso Rodriguez","For Her","Confirmed","Confirmed","","Perfume","35,00 €","Women","Peach, Rose","Amber, Musk","Patchouli, Sandalwood","https://www.chogangroupspa.com/chogangroup/productDetail/9013","","","Exact code"
"026","026W","Wild Poppy - Perfume for Her","Women","Women perfumes inspired by","Kenzo","Flower","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Black Currant, Hawthorn, Mandarin Orange, Rose","Jasmine, Opoponax, Rose, Violet","Incense, Musk, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12001","","","Normalized code (suffix / leading zero)"
"027","027W","L'Amour Rare - Perfume for Her","Women","Women perfumes inspired by","Lancôme","Tresor","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Apricot Blossom, Bergamot, Lilac, Lily-of-the-Valley, Peach, Pineapple, Rose","Heliotrope, Iris, Jasmine, Rose","Amber, Apricot, Musk, Peach, Sandalwood, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12016","","","Normalized code (suffix / leading zero)"
"028","028W","Etherea - Perfume for Her","Women","Women perfumes inspired by","Thierry Mugler","Angel","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Bergamot, Black Currant, Coconut, Cotton Candy, Jasmine, Mandarin Orange, Melon, Pineapple","Apricot, Blackberry, Caraway, Honey, Jasmine, Lily-of-the-Valley, Nutmeg, Orchid, Peach, Plum, Red Berries, Rose","Amber, Caramel, Dark Chocolate, Musk, Patchouli, Sandalwood, Tonka Bean, Vanilla","https://www.chogangroupspa.com/chogangroup/productDetail/12031","","","Normalized code (suffix / leading zero)"
"029","029W","Rêve Parisien - Perfume for Her","Women","Women perfumes inspired by","Issey Miyake","L'eau d'Issey","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Calone, Cyclamen, Freesia, Lotus, Melon, Rose","Carnation, Lily, Lily-of-the-Valley, Peony","Amber, Cedar, Musk, Osmanthus, Sandalwood, Tuberose, Woody Notes","https://www.chogangroupspa.com/chogangroup/productDetail/12046","","","Normalized code (suffix / leading zero)"
"039","039W","Darling - Perfume for Her","Women","Women perfumes inspired by","Dior","Miss Dior Cherie","Legacy code / current code found","Confirmed","","Perfume","35,00 €","Women","Mandarin Orange, Wild Strawberry","Jasmine, Rose","Amber, Oakmoss, Patchouli, Sandalwood, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/12136","","","Normalized code (suffix / leading zero)"
"040","040","Perfume for Her with 30% essence","Women","Women perfumes inspired by","Lancôme","Hypnose","Confirmed","Confirmed","","Perfume","35,00 €","Women","Passion Flower","Gardenia, Jasmine","Vanilla, Vetiver","https://www.chogangroupspa.com/chogangroup/productDetail/9039","","","Exact code"
